epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,7.745e-06,7.745e-06,1549,,,,,
0,,,1549,,15.05609130859375,,,
,7.995e-06,7.995e-06,1599,,,,,
,7.995e-06,7.995e-06,1599,,,,,
,7.995e-06,7.995e-06,1599,,,,,
0,,,1599,,11.081518173217773,,,
,8.245000000000002e-06,8.245000000000002e-06,1649,,,,,
,8.245000000000002e-06,8.245000000000002e-06,1649,,,,,
,8.245000000000002e-06,8.245000000000002e-06,1649,,,,,
0,,,1649,,16.599037170410156,,,
,8.495e-06,8.495e-06,1699,,,,,
,8.495e-06,8.495e-06,1699,,,,,
,8.495e-06,8.495e-06,1699,,,,,
0,,,1699,,23.242294311523438,,,
,8.745000000000002e-06,8.745000000000002e-06,1749,,,,,
,8.745000000000002e-06,8.745000000000002e-06,1749,,,,,
,8.745000000000002e-06,8.745000000000002e-06,1749,,,,,
0,,,1749,,10.018471717834473,,,
,8.995000000000001e-06,8.995000000000001e-06,1799,,,,,
,8.995000000000001e-06,8.995000000000001e-06,1799,,,,,
,8.995000000000001e-06,8.995000000000001e-06,1799,,,,,
0,,,1799,,25.63099479675293,,,
,9.245e-06,9.245e-06,1849,,,,,
,9.245e-06,9.245e-06,1849,,,,,
,9.245e-06,9.245e-06,1849,,,,,
0,,,1849,,23.98153305053711,,,
,9.495000000000001e-06,9.495000000000001e-06,1899,,,,,
,9.495000000000001e-06,9.495000000000001e-06,1899,,,,,
,9.495000000000001e-06,9.495000000000001e-06,1899,,,,,
0,,,1899,,2.960357427597046,,,
,9.745e-06,9.745e-06,1949,,,,,
,9.745e-06,9.745e-06,1949,,,,,
,9.745e-06,9.745e-06,1949,,,,,
0,,,1949,,41.60540771484375,,,
,9.995000000000002e-06,9.995000000000002e-06,1999,,,,,
,9.995000000000002e-06,9.995000000000002e-06,1999,,,,,
,9.995000000000002e-06,9.995000000000002e-06,1999,,,,,
0,,,1999,,9.611383438110352,,,
,9.999999914219602e-06,9.999999914219602e-06,2049,,,,,
,9.999999914219602e-06,9.999999914219602e-06,2049,,,,,
,9.999999914219602e-06,9.999999914219602e-06,2049,,,,,
0,,,2049,,25.878372192382812,,,
,9.999999649840204e-06,9.999999649840204e-06,2099,,,,,
,9.999999649840204e-06,9.999999649840204e-06,2099,,,,,
,9.999999649840204e-06,9.999999649840204e-06,2099,,,,,
0,,,2099,,29.17932891845703,,,
,9.999999206826086e-06,9.999999206826086e-06,2149,,,,,
,9.999999206826086e-06,9.999999206826086e-06,2149,,,,,
,9.999999206826086e-06,9.999999206826086e-06,2149,,,,,
0,,,2149,,30.957242965698242,,,
,9.999998585177264e-06,9.999998585177264e-06,2199,,,,,
,9.999998585177264e-06,9.999998585177264e-06,2199,,,,,
,9.999998585177264e-06,9.999998585177264e-06,2199,,,,,
0,,,2199,,31.998821258544922,,,
,9.999997784893762e-06,9.999997784893762e-06,2249,,,,,
,9.999997784893762e-06,9.999997784893762e-06,2249,,,,,
,9.999997784893762e-06,9.999997784893762e-06,2249,,,,,
0,,,2249,,13.151432991027832,,,
,9.999996805975607e-06,9.999996805975607e-06,2299,,,,,
,9.999996805975607e-06,9.999996805975607e-06,2299,,,,,
,9.999996805975607e-06,9.999996805975607e-06,2299,,,,,
0,,,2299,,16.137971878051758,,,
,9.999995648422836e-06,9.999995648422836e-06,2349,,,,,
,9.999995648422836e-06,9.999995648422836e-06,2349,,,,,
